1/15/2002,Tuesday,(509) 575-6184,City Attorney,
1/15/2002,Tuesday,(509) 575-6041,City Manager,
1/15/2002,Tuesday,(509) 575-5111,Receptionist/Information,
1/15/2002,Tuesday,(509) 966-1399,Lance's Legendary Pizza Restaurant,
1/15/2002,Tuesday,(509) 966-1399,Lance's Legendary Pizza Restaurant,
1/15/2002,Tuesday,(509) 575-6094,Purchasing,
1/15/2002,Tuesday,(509) 575-6038,City Clerk,
1/15/2002,Tuesday,(509) 457-6818,Private Alderwood Phone Number 13,
1/15/2002,Tuesday,(509) 575-6184,City Attorney,
1/16/2002,Wednesday,(509) 575-6102,Neighborhood and Development Services,
1/17/2002,Thursday,(509) 575-6184,City Attorney,
1/17/2002,Thursday,(509) 575-5111,Receptionist/Information,
1/17/2002,Thursday,(509) 972-3585,Starbuck's Coffee Shop 2,
1/17/2002,Thursday,(206) 461-4857,Seattle Legal Services,
1/17/2002,Thursday,(509) 575-6036,City Prosecutor,
1/17/2002,Thursday,(509) 575-3051,Municipal Court,
1/17/2002,Thursday,(206) 467-5203,"Beazer and Tolman, Attorneys-at-Law",
1/17/2002,Thursday,(509) 248-0723,Shangri-La Take Out,
1/17/2002,Thursday,(509) 575-6038,City Clerk,
1/17/2002,Thursday,(206) 628-2312,"Hawks and Pernich, Attorneys-at-Law",
1/17/2002,Thursday,(509) 575-6036,City Prosecutor,
1/17/2002,Thursday,(509) 575-5111,Receptionist/Information,
1/17/2002,Thursday,(206) 467-5203,"Beazer and Tolman, Attorneys-at-Law",
1/17/2002,Thursday,(509) 453-5589,Crossroads Donuts,
1/18/2002,Friday,(509) 575-6184,City Attorney,
1/18/2002,Friday,(509) 575-6184,City Attorney,
1/18/2002,Friday,(509) 575-6004,Public Works,
1/18/2002,Friday,(509) 575-6081,Utility Services,
1/19/2002,Saturday,,,
1/20/2002,Sunday,,,
1/21/2002,Monday,41 041 242 16 16,Swiss Number #2,
1/21/2002,Monday,41 031 819 42 40,Swiss Number #3,
1/22/2002,Tuesday,(509) 457-0025,Private Alderwood Phone Number 10,
1/22/2002,Tuesday,(509) 575-6671,City Licensing,
1/22/2002,Tuesday,(509) 575-6042,Assistant City Manager,
1/22/2002,Tuesday,(509) 965-9259,Private Alderwood Phone Number 3,
1/23/2002,Wednesday,(509) 575-6114,Community and Economic Development,
1/23/2002,Wednesday,(509) 575-6155,Water and Irrigation,
1/24/2002,Thursday,(509) 575-3051,Municipal Court,
1/24/2002,Thursday,(509) 575-6671,City Licensing,
1/24/2002,Thursday,(509) 453-5589,Crossroads Donuts,
1/24/2002,Thursday,(509) 457-2136,Private Alderwood Phone Number 14,
1/25/2002,Friday,(509) 575-3571,Probation,
1/25/2002,Friday,(509) 575-6184,City Attorney,
1/25/2002,Friday,(509) 575-6184,City Attorney,
1/25/2002,Friday,(509) 575-6184,City Attorney,
1/26/2002,Saturday,(416) 695-2090,,
1/26/2002,Saturday,41 031 819 42 40,Swiss Number #3,
1/27/2002,Sunday,,,
1/28/2002,Monday,(509) 453-2162,El Taco Stand,
1/28/2002,Monday,(509) 248-3854,Arctic Circle 1,
1/29/2002,Tuesday,(509) 965-2589,Private Alderwood Phone Number 29,
1/29/2002,Tuesday,(509) 575-3051,Municipal Court,
1/29/2002,Tuesday,(509) 575-6036,City Prosecutor,
1/29/2002,Tuesday,(509) 575-6063,Convention Center,
1/29/2002,Tuesday,(509) 453-8404,Private Alderwood Phone Number 17,
1/30/2002,Wednesday,(509) 575-5111,Receptionist/Information,
1/31/2002,Thursday,(509) 453-5589,Crossroads Donuts,
1/31/2002,Thursday,(509) 575-5111,Receptionist/Information,
